COLOR_GrasSurface
N045.21.47.462 E005.19.58.810
N045.21.47.549 E005.19.58.576
N045.21.47.637 E005.19.58.322
N045.21.47.754 E005.19.58.047
N045.21.47.861 E005.19.57.822
N045.21.48.025 E005.19.57.548
N045.21.51.163 E005.19.54.800
N045.21.50.992 E005.19.54.446
N045.21.48.049 E005.19.57.059
N045.21.47.828 E005.19.57.131
N045.21.47.705 E005.19.57.099
N045.21.47.554 E005.19.56.979
N045.21.47.450 E005.19.56.859
N045.21.47.354 E005.19.56.739
N045.21.47.292 E005.19.56.609
N045.21.47.505 E005.18.35.715
N045.21.43.596 E005.18.35.573
N045.21.43.231 E005.18.35.611
N045.21.42.974 E005.18.35.688
N045.21.42.729 E005.18.35.798
N045.21.42.427 E005.18.35.990
N045.21.42.233 E005.18.36.152
N045.21.42.613 E005.18.37.090
N045.21.42.828 E005.18.36.924
N045.21.43.060 E005.18.36.826
N045.21.43.360 E005.18.36.758
N045.21.43.617 E005.18.36.743
N045.21.43.820 E005.18.36.782
N045.21.44.066 E005.18.36.902
N045.21.44.355 E005.18.37.113

COLOR_RunwayGrass
N045.21.44.610 E005.19.06.122
N045.21.42.949 E005.19.06.114
N045.21.42.846 E005.19.47.545
N045.21.44.508 E005.19.47.543

COLOR_Building
N045.21.24.599 E005.19.58.374
N045.21.24.385 E005.19.57.524
N045.21.22.598 E005.19.58.517
N045.21.22.837 E005.19.59.391

COLOR_Building
N045.21.25.367 E005.19.58.185
N045.21.25.731 E005.19.57.965
N045.21.25.337 E005.19.56.510
N045.21.24.981 E005.19.56.702

COLOR_Building
N045.21.25.544 E005.19.56.385
N045.21.25.890 E005.19.57.664
N045.21.26.255 E005.19.57.442
N045.21.25.908 E005.19.56.190

COLOR_Building
N045.21.26.364 E005.19.56.947
N045.21.26.267 E005.19.57.001
N045.21.26.353 E005.19.57.296
N045.21.26.820 E005.19.57.038
N045.21.26.752 E005.19.56.737
N045.21.27.295 E005.19.56.433
N045.21.27.061 E005.19.55.556
N045.21.26.136 E005.19.56.068

COLOR_Building
N045.21.27.375 E005.19.56.682
N045.21.26.890 E005.19.56.959
N045.21.27.119 E005.19.57.844
N045.21.27.618 E005.19.57.576

COLOR_Building
N045.21.27.211 E005.19.58.114
N045.21.27.558 E005.19.59.359
N045.21.28.022 E005.19.59.098
N045.21.27.680 E005.19.57.837
